REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/tmp/tmptsfw043v.wav	 /tmp/tmpaj3z4gr5.wav	 -1.000	 1.044	 16000	wb
/tmp/tmp9rtjm0ka.wav	 /tmp/tmpy18l5j30.wav	 -1.000	 1.041	 16000	wb
/tmp/tmpelwmxhc3.wav	 /tmp/tmp0ohdoap0.wav	 -1.000	 1.031	 16000	wb
/tmp/tmpw38415o1.wav	 /tmp/tmpoqctco2s.wav	 -1.000	 1.417	 16000	wb
/tmp/tmpw6at9l9b.wav	 /tmp/tmp1diuxgnj.wav	 -1.000	 1.059	 16000	wb
/tmp/tmph7u86mc_.wav	 /tmp/tmpyi2ma8wo.wav	 -1.000	 1.055	 16000	wb
/tmp/tmpg4o8l97p.wav	 /tmp/tmpr4d6frab.wav	 -1.000	 1.032	 16000	wb
/tmp/tmp4b_rb1kb.wav	 /tmp/tmpsf0vyyn5.wav	 -1.000	 1.035	 16000	wb
/tmp/tmpujegjwx1.wav	 /tmp/tmpel4qwqvf.wav	 -1.000	 1.033	 16000	wb
/tmp/tmp3eqn9zyj.wav	 /tmp/tmpr2v7z2ng.wav	 -1.000	 1.160	 16000	wb
/tmp/tmpyoadpqsj.wav	 /tmp/tmpg3g3w5aq.wav	 -1.000	 1.033	 16000	wb
/tmp/tmpmgc46ewf.wav	 /tmp/tmpsow_1fzm.wav	 -1.000	 1.074	 16000	wb
/tmp/tmpavj7q61p.wav	 /tmp/tmp3tkeu3ih.wav	 -1.000	 1.065	 16000	wb
/tmp/tmpdrgfu2jj.wav	 /tmp/tmp7xzs7fvc.wav	 -1.000	 1.099	 16000	wb
/tmp/tmp41gvufyy.wav	 /tmp/tmp1z4fx54l.wav	 -1.000	 1.060	 16000	wb
/tmp/tmpbc6s61v2.wav	 /tmp/tmpx2vpoovz.wav	 -1.000	 1.059	 16000	wb
/tmp/tmpbuqh_vgz.wav	 /tmp/tmp_eq1l100.wav	 -1.000	 1.089	 16000	wb
/tmp/tmpte76v300.wav	 /tmp/tmpnrgyf5dq.wav	 -1.000	 1.047	 16000	wb
/tmp/tmpxi5raa2e.wav	 /tmp/tmp2zia3kgy.wav	 -1.000	 1.037	 16000	wb
